Source system,Field name,Source copybook field label,RDA API field label,Category,Copybook data dictionary name (if different),Source system definition,Plain language definition,Additional context ,Enum Y/N,Source system field types and values according to their documentation,Copybook source,Version added,CCLF Mapping,CCW Mapping ,837 Mapping ,FISS <> MCS Mapping,Open questions 
FISS,Batch Audit Current Date,BADT-CURR-DATE-CYMD,fiss_audit_trail.badt_curr_date_cymd,Claim processing,n/a,"This field is the group level name for the batch cycle transaction date (century, year, month, day) for the claim audit trail.",,,N,CC-YY-MM-DD date format,FSRCCXLB,0.5,,,,,
FISS,Batch Audit Location,BADT-LOC,fiss_audit_trail.badt_loc,Claim processing,n/a,"This field identifies where the claim is currently located in the system. The first position identifies the type of processing occurring on the claim. The second and third position represents the driver name. The fourth and fifth position allow for further category definition with the driver.
Note: The claim status is combined with the claim location to route claims through the system.",,,N,"Alphanumeric, 5 digits
This field will have the same range of values as the CURR-LOCATION field. See the table of Location Codes from the Intro-Status-Location document, copied in tab C for convenience. ",FSRCCXLB,0.5,,,,,
FISS,Batch Audit Operator ID,BADT-OPER-ID,fiss_audit_trail.badt_oper_id,Claim processing,n/a,"This field identifies the authorized operator that created, or revised data that processed to the claim audit trail. This field is also utilized in a variety of mainframe programs to identify a program name, or function that processes a request in the system, as an operator.Note: Security authorization is handled through the Operator Control file.",,,N,"Alphanumeric, 9 digits",FSRCCXLB,0.5,,,,,
FISS,Batch Audit Reason Code,BADT-REAS,fiss_audit_trail.badt_reas,Claim processing,n/a,This field identifies the system edit code on the claim audit trail.,,,N,"Alphanumeric, 5 digits.

See Table 134, Table 135 and Table 136 in the FISS Quick Reference, copied in tab C for convenience. ",FSRCCXLB,0.5,,,,,
FISS,Batch Audit Status,BADT-STATUS,fiss_audit_trail.badt_status,Claim processing,n/a,"This field identifies the condition of the claim (paid, reject, deny, etc.) on the claim audit trail.
Note: The claim status is combined with the claim location to route claims through the system.",,,,"Alphanumeric, 1 digit
This field will have the same range of values as the CURR-STATUS field. Refer to Table 1, Pending Statuses from the FISS Intro-Status-Location document, copied in tab C for convenience. ",FSRCCXLB,0.5,,,,,
FISS,Audit Trail Table Position Number,not in source copybook ,fiss_patients.rda_position,Field created for RDA API,n/a,This field does not exist in the Shared Systems. ,,This field indicates the order of the rows in the fiss_audit_trail table. ,,"1 character, numeric",n/a,0.7,,,,,
FISS,Patient Table Position Number,not in source copybook ,fiss_patient_table.rda_position,Field created for RDA API,n/a,This field does not exist in the Shared Systems. ,,This field indicates the order of the rows in the fiss_patients table. ,,"1 character, numeric",n/a,0.7,,,,,
FISS,Diagnosis Code Table Position Number,not in source copybook ,fiss_diagnosis_codes.rda_position,Field created for RDA API,n/a,This field does not exist in the Shared Systems. ,,This field indicates the order of the rows in the fiss_diagnosis_codes table. ,,"1 character, numeric",n/a,0.7,,,,,
FISS,Payer Table Position Number,not in source copybook ,fiss_payer_table.rda_position,Field created for RDA API,n/a,This field does not exist in the Shared Systems. ,,This field indicates the order of the rows in the fiss_payers table. ,,"1 character, numeric",n/a,0.7,,,,,
FISS,Procedure Code Table Position Number,not in source copybook ,fiss_proc_codes.rda_position,Field created for RDA API,n/a,This field does not exist in the Shared Systems. ,,This field indicates the order of the rows in the fiss_proc_codes table. ,,"1 character, numeric",n/a,0.7,,,,,
MCS,Adjustments Table Position Number,not in source copybook ,mcs_adjustments.rda_position,Field created for RDA API,n/a,This field does not exist in the Shared Systems. ,,This field indicates the order of the rows in the mcs_adjustments table. ,,"1 character, numeric",n/a,0.7,,,,,
MCS,Audit Table Position Number,not in source copybook ,mcs_audits.rda_position,Field created for RDA API,n/a,This field does not exist in the Shared Systems. ,,This field indicates the order of the rows in the mcs_audits table. ,,"1 character, numeric",n/a,0.7,,,,,
MCS,Diagnosis Code Table Position Number,not in source copybook ,mcs_diagnosis_codes.rda_position,Field created for RDA API,n/a,This field does not exist in the Shared Systems. ,,This field indicates the order of the rows in the mcs_diagnosis_codes table. ,,"1 character, numeric",n/a,0.7,,,,,
MCS,Location Table Position Number,not in source copybook ,mcs_locations.rda_position,Field created for RDA API,n/a,This field does not exist in the Shared Systems. ,,This field indicates the order of the rows in the mcs_locations table. ,,"1 character, numeric",n/a,0.7,,,,,
FISS,Adjustment Medicare Beneficiary Identifier,ADJ-MBI,fiss_claims.adj_mbi,Beneficiary information,n/a,This field identifies the MBI number submitted on the adjustment/cancel claim,,,N,"Alphanumeric, 11 characters",FSRCCLXB,0.5,,,,,Does this field get populated on the original claim or the child claim that is adjusting/canceling the parent claim? 
FISS,Adjustment Medicare Beneficiary Identifier (MBI) Indicator,ADJ-MBI-IND,fiss_claims.adj_mbi_ind,Beneficiary information,n/a,This field identifies the adjustment/cancel claim that was submitted with a Health Insurance Claim (HIC) Number or MBI number.,,,Y,"Alphanumeric, 1 character
H = The HIC was submitted on the adjustment/cancel claim
M = The MBI was submitted on the adjustment/cancel claim
Blank = This field will be blank on adjustment/cancel claims created prior to 7/01/18 and non-adjustment/cancel claims.",FSRCCLXB,0.5,,,,,
