"FHIR Resource","Claim or Coverage Types","CCW Source Column Name","Extension Name","Extension Description","FHIR R4 Mapping","Extension Info"
"Coverage","Part-A; Part-B; Part-C; Part-D","BENE_ENROLLMT_REF_YR","Reference Year","This field indicates the reference year of the enrollment data.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/rfrnc_yr'"
"Coverage","Part-A","BENE_ENTLMT_RSN_CURR","Current Reason for Entitlement Code","Current reason for Medicare entitlement.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/crec'"
"Coverage","Part-A","BENE_ENTLMT_RSN_ORIG","Original Reason for Entitlement Code","Original reason for Medicare entitlement.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/orec'"
"Coverage","Part-A","BENE_ESRD_IND","End-stage Renal Disease (ESRD) Indicator","This field specifies whether a beneficiary is entitled to Medicare benefits due to end stage renal disease (ESRD).","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/esrd_ind'"
"Coverage","Part-A; Part-B; Part-D","BENE_MDCR_STATUS_CD","Medicare Status Code","This variable indicates how a beneficiary currently qualifies for Medicare.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/ms_cd'"
"Coverage","Part-A","BENE_PTA_TRMNTN_CD","Part A Termination Code","This code specifies the reason Part A entitlement was terminated.","coverage.status AND coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/a_trm_cd'"
"Coverage","Part-B","BENE_PTB_TRMNTN_CD","Part B Termination Code","This code specifies the reason Part B entitlement was terminated.","coverage.status AND coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/b_trm_cd'"
"Coverage","Part-D","CST_SHR_GRP_CD_01","Part D Low Income Cost Share Group Code - January","This variable indicates the beneficiary’s Part D low-income subsidy cost sharing group for a given month (January). The Part D benefit requires enrollees to pay both premiums and cost-sharing; but the program also has a low-income subsidy (LIS) that covers some or all of those costs for certain lowincome individuals; including deductibles and cost-sharing during the coverage gap.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/cstshr01'"
"Coverage","Part-D","CST_SHR_GRP_CD_02","Part D Low Income Cost Share Group Code - February","This variable indicates the beneficiary’s Part D low-income subsidy cost sharing group for a given month (January). The Part D benefit requires enrollees to pay both premiums and cost-sharing; but the program also has a low-income subsidy (LIS) that covers some or all of those costs for certain lowincome individuals; including deductibles and cost-sharing during the coverage gap.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/cstshr02'"
"Coverage","Part-D","CST_SHR_GRP_CD_03","Part D Low Income Cost Share Group Code - March","This variable indicates the beneficiary’s Part D low-income subsidy cost sharing group for a given month (January). The Part D benefit requires enrollees to pay both premiums and cost-sharing; but the program also has a low-income subsidy (LIS) that covers some or all of those costs for certain lowincome individuals; including deductibles and cost-sharing during the coverage gap.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/cstshr03'"
"Coverage","Part-D","CST_SHR_GRP_CD_04","Part D Low Income Cost Share Group Code - April","This variable indicates the beneficiary’s Part D low-income subsidy cost sharing group for a given month (January). The Part D benefit requires enrollees to pay both premiums and cost-sharing; but the program also has a low-income subsidy (LIS) that covers some or all of those costs for certain lowincome individuals; including deductibles and cost-sharing during the coverage gap.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/cstshr04'"
"Coverage","Part-D","CST_SHR_GRP_CD_05","Part D Low Income Cost Share Group Code - May","This variable indicates the beneficiary’s Part D low-income subsidy cost sharing group for a given month (January). The Part D benefit requires enrollees to pay both premiums and cost-sharing; but the program also has a low-income subsidy (LIS) that covers some or all of those costs for certain lowincome individuals; including deductibles and cost-sharing during the coverage gap.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/cstshr05'"
"Coverage","Part-D","CST_SHR_GRP_CD_06","Part D Low Income Cost Share Group Code - June","This variable indicates the beneficiary’s Part D low-income subsidy cost sharing group for a given month (January). The Part D benefit requires enrollees to pay both premiums and cost-sharing; but the program also has a low-income subsidy (LIS) that covers some or all of those costs for certain lowincome individuals; including deductibles and cost-sharing during the coverage gap.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/cstshr06'"
"Coverage","Part-D","CST_SHR_GRP_CD_07","Part D Low Income Cost Share Group Code - July","This variable indicates the beneficiary’s Part D low-income subsidy cost sharing group for a given month (January). The Part D benefit requires enrollees to pay both premiums and cost-sharing; but the program also has a low-income subsidy (LIS) that covers some or all of those costs for certain lowincome individuals; including deductibles and cost-sharing during the coverage gap.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/cstshr07'"
"Coverage","Part-D","CST_SHR_GRP_CD_08","Part D Low Income Cost Share Group Code - August","This variable indicates the beneficiary’s Part D low-income subsidy cost sharing group for a given month (January). The Part D benefit requires enrollees to pay both premiums and cost-sharing; but the program also has a low-income subsidy (LIS) that covers some or all of those costs for certain lowincome individuals; including deductibles and cost-sharing during the coverage gap.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/cstshr08'"
"Coverage","Part-D","CST_SHR_GRP_CD_09","Part D Low Income Cost Share Group Code - September","This variable indicates the beneficiary’s Part D low-income subsidy cost sharing group for a given month (January). The Part D benefit requires enrollees to pay both premiums and cost-sharing; but the program also has a low-income subsidy (LIS) that covers some or all of those costs for certain lowincome individuals; including deductibles and cost-sharing during the coverage gap.","coverage.extension[N].valueCoding.code","coverage.extension[N].url = 'https://bluebutton.cms.gov/resources/variables/cstshr09'"
