,Field Name,Description,FHIR Resource,Coverage / Claim Type,fhirPath,example,notes,sourceView,sourceColumn,bfdDerived,sources,referenceTable,cclfMapping,ccwMapping,profiles
0,Matched Beneficiary FHIR ID,The FHIR ID of the beneficiary that was matched.,AuditEvent,,AuditEvent.entity.where(type.coding.code = 'Patient').what.reference.substring(8),,The SK of the beneficiary that was matched during the query process.,,,,,,,,
1,Purpose of Event,"The purpose of the audit event (e.g., PATRQT).",AuditEvent,,AuditEvent.purposeOfEvent.coding.where(system = 'http://terminology.hl7.org/CodeSystem/v3-ActReason').code,PATRQT,The purpose of the audit event.,,,,,,,,
2,Timestamp,The time the audit event occurred.,AuditEvent,,AuditEvent.recorded,2026-04-06T15:10:21.178850077Z,The exact date and time when the audit event was captured.,,,,,,,,
3,Client IP,The IP address of the client.,AuditEvent,,AuditEvent.agent.network.address,192.0.0.1,The IP address from which the client request originated.,,,,,,,,
4,Client Name,The name of the client application.,AuditEvent,,AuditEvent.agent.name,Alex's test app,The human-readable name of the client application.,,,,,,,,
5,Final Determination,The combination used to determine the unique match.,AuditEvent,,AuditEvent.entity.where(type.coding.code = 'Patient').detail,,The combination evaluated that returned a unique match. Includes version + algorithm number.,,,,,,,,
6,Claim Unique ID,AN INTEGRATED DATA REPOSITORY (IDR) ASSIGNED SURROGATE KEY USED TO IDENTIFY A CLAIM.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.identifier.where(type.coding.system = 'http://hl7.org/fhir/us/carin-bb/CodeSystem/C4BBIdentifierType' and type.coding.code = 'uc' ).value,PHARM-2024-0012345,,V2_MDCR_CLM,CLM_UNIQ_ID,,['DDPS'],,['CCLF7.CUR_CLM_UNIQ_ID'],['PDE_ID'],"['Basis', 'Regular', 'CMS']"
7,Original Claim Control Number,This field contains the original claim control number for adjusted or corrected claims. It provides a reference to the prior claim that this claim is adjusting or correcting.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.identifier.where(system = 'https://bluebutton.cms.gov/identifiers/CLM-CNTL-NUM').value,CNTL20240012340,,V2_MDCR_CLM,CLM_ORIG_CNTL_NUM,,['DDPS'],,,,"['Basis', 'Regular', 'CMS']"
8,Claim Type Code,A CODE IDENTIFYING THE SOURCE AND TYPE OF CLAIM SUBMITTED THROUGH THE MEDICARE OR MEDICAID PROGRAM.  FOR EXAMPLE:  60 = MEDICARE  NATIONAL CLAIMS HISTORY (NCH) INPATIENT CLAIM   8900 = MEDICAID FEE FOR SERVICE DENTAL     REFERENCE TABLE: CLM_TYPE_CD,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.type.coding.where(system = 'https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD').code,1,,V2_MDCR_CLM,CLM_TYPE_CD,,['DDPS'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-TYPE-CD,['CCLF7.CLM_TYPE_CD'],,"['Basis', 'Regular', 'CMS']"
9,Beneficiary Source Key - On Claim,Beneficiary Source Key - On Claim,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.patient.reference.substring(8),123456789,,,,,['DDPS'],,,,"['Basis', 'Regular', 'CMS']"
10,Claim From Date,A DATE IDENTIFYING THE FIRST DAY SERVICES ARE PROVIDED TO A BENEFICIARY.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.billablePeriod.start,2024-01-15,,V2_MDCR_CLM,CLM_FROM_DT,,['DDPS'],,,,"['Basis', 'Regular', 'CMS']"
11,Claim Thru Date,"A DATE IDENTIFYING THE LAST DAY SERVICES ARE PROVIDED TO A BENEFICIARY.  NOTE: FOR DRUG CLAIMS, THIS DATE IS WHEN THE PRESCRIPTION WAS FILLED.",ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.billablePeriod.end,2024-01-15,,V2_MDCR_CLM,CLM_THRU_DT,,['DDPS'],,,,"['Basis', 'Regular', 'CMS']"
12,Claim Effective Date,A DATE CORRESPONDING TO THE NATIONAL CLAIM HISTORY (NCH) WEEKLY PROCESSING DATE AND USED IN FINAL ACTION PROCESSING TO IDENTIFY A VERSION OF A CLAIM. IT WILL ALWAYS BE A FRIDAY DATE.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.created,2024-01-15,,V2_MDCR_CLM,CLM_EFCTV_DT,,['DDPS'],,['CCLF7.CLM_EFCTV_DT'],,"['Basis', 'Regular', 'CMS']"
13,Claim Source ID,AN IDENTIFIER INDICATING WHERE THE SOURCE OF THE CLAIM DATA IN THE INTEGRATED DATA REPOSITORY (IDR) ORIGINATED FROM.   VALID VALUES:  20000 = NATIONAL CLAIMS HISTORY (NCH)  21000 = FISCAL INTERMEDIARY SHARED SYSTEM (FISS)  22000 = MULTI-CARRIER SYSTEM (MCS)  23000 = VIABLE INFORMATION PROCESSING SYSTEMS (VIPS) MEDICARE SYSTEM (VMS)  24000 = ENCOUNTER DATA PROCESSING SYSTEM (EDPS)  25000 = ENCOUNTER MEDICAID DUALS 837 CLAIMS  AND DUALS MEDICAID DRUG CLAIMS (DMDC)  N/A = MEDICAID,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.meta.source,DDPS,,V2_MDCR_CLM,CLM_SRC_ID,,['DDPS'],https://bluebutton.cms.gov/fhir/CodeSystem/CLM-SRC-ID,,,"['Basis', 'Regular', 'CMS']"
14,Service Provider Generic ID Number,A NUMBER USED TO IDENTIFY A SERVICE PROVIDER.,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.contained.where(id = %context.provider.reference.substring(1)).identifier.where(system='http://bluebutton.cms.gov/fhir/identifiers/GenericIdNum').value,1942945159,,V2_MDCR_CLM,CLM_SRVC_PRVDR_GNRC_ID_NUM,,['DDPS'],,['CCLF7.CLM_SRVC_PRVDR_GNRC_ID_NUM'],['SRVC_PRVDR_ID'],"['Basis', 'Regular', 'CMS']"
15,Service Provider NPI Number,A NUMBER IDENTIFYING THE NATIONAL PROVIDER IDENTIFIER (NPI) OF A SERVICE PROVIDER AS SOURCED FROM THE NPI CROSSWALK REFERENCE INFORMATION PROVIDED BY THE NATIONAL PLAN AND PROVIDER ENUMERATION SYSTEM (NPPES).,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.contained.where(id = %root.provider.reference.substring(1)).identifier.where(system='http://hl7.org/fhir/sid/us-npi').value,,"CCLF7.CLM_SRVC_PRVDR_GNRC_ID_NUM can provide NCPDP numbers in .008% of instances (among other rare ID types). These are surfaced as generic ID numbers, and may require a different FHIRPath expression (using system = ""http://bluebutton.cms.gov/fhir/identifiers/GenericIdNum"").",V2_MDCR_CLM,PRVDR_SRVC_PRVDR_NPI_NUM,,['DDPS'],,,['SRVC_PRVDR_ID'],"['Basis', 'Regular', 'CMS']"
16,Provider Service Identifier Qualifier Code,A CODE INDICATING THE TYPE OF NUMBER USED TO IDENTIFY A SERVICE PROVIDER ON A CLAIM.  FOR EXAMPLE:  01 = NPI  07 = NCPDP NUMBER  08 = STATE LICENSE NUMBER    REFERENCE TABLE: CLM_PRVDR_ID_QLFYR_CD,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.contained.where(id = %context.provider.reference.substring(1)).identifier.type.where(system='http://bluebutton.cms.gov/fhir/CodeSystem/PRVDR-ID-QLFYR-CD').code,,,V2_MDCR_CLM,PRVDR_SRVC_ID_QLFYR_CD,,['DDPS'],,['CCLF7.PRVDR_SRVC_ID_QLFYR_CD'],,"['Basis', 'Regular', 'CMS']"
17,Provider Prescribing Identifier Qualifier Code,A CODE INDICATING THE TYPE OF NUMBER USED TO IDENTIFY A PRESCRIBING PROVIDER ON A CLAIM.  FOR EXAMPLE:  01 = NPI  07 = NCPDP NUMBER  08 = STATE LICENSE NUMBER    REFERENCE TABLE: CLM_PRVDR_ID_QLFYR_CD,ExplanationOfBenefit,['Pharmacy'],ExplanationOfBenefit.careTeam.where(role.coding.where(code = 'prescribing').exists()).provider.identifier.type.coding.where(system='http://bluebutton.cms.gov/fhir/CodeSystem/PRVDR-ID-QLFYR-CD').code,01,,V2_MDCR_CLM,PRVDR_PRSBNG_ID_QLFYR_CD,,['DDPS'],,['CCLF7.PRVDR_PRSBNG_ID_QLFYR_CD'],,"['Basis', 'Regular', 'CMS']"
